symbol,avg_high,avg_low,avg_amplitude,max_high,max_amplitude,std_amplitude,range_high,range_low,num_records
MO,38.747015518428285,38.07821291242388,0.6688026060044026,66.29570344785185,4.263560710050815,0.39739479284937196,45.684354505141755,45.88853181534445,1507
001914,16.231214454976303,15.564395734597154,0.6668187203791469,38.8,4.6299999999999955,0.5008625359656156,31.299999999999997,28.619999999999997,1688
WY,28.189858527822402,27.52331178977828,0.666546738044121,37.67934959672796,2.649275730269933,0.31783819324146145,25.74135693856727,25.925788827407878,1507
601677,16.67522660388464,16.01058858151854,0.6646380223660977,47.75,4.8700000000000045,0.6756059135560278,39.05,36.67,1699
HPQ,26.112099774657487,25.44897228580469,0.6631274888527956,37.795882838490854,4.78544539484011,0.37738344326313844,26.333581081457083,26.682821964757352,1507
000792,19.06241155234657,18.40074368231047,0.6616678700361011,45.65,11.490000000000002,0.7089303720120667,40.01,36.96,1385
PFE,30.331552805043508,29.675934777197,0.6556180278465069,49.41779771766714,2.946969901194933,0.38972888624449603,28.906634548386684,28.408031376823143,1507
M,15.106485916655698,14.460111618839415,0.6463742978162856,32.13344334862726,4.665932255417179,0.40552016458221857,28.039191453151382,25.614588897693256,1507
600580,15.344090641553855,14.698087110064744,0.6460035314891112,56.87,6.659999999999997,0.6696717476092988,50.48,44.74,1699
002236,18.551932822628167,17.909640542133175,0.6422922804949913,29.3,3.280000000000001,0.42695961136863486,17.9,15.059999999999999,1697
600096,16.77479105356092,16.1326603884638,0.6421306650971159,37.81,5.25,0.6132517786052771,33.24,30.730000000000004,1699
INVH,30.445269276494482,29.805998712175658,0.63927056431882,40.02400392572199,4.4550165110678215,0.3264411628089594,25.68864333903996,26.294637855579722,1507
DD,28.216566911439237,27.58442470168171,0.6321422097575262,41.849998474121094,3.8603220156903575,0.32127340074884303,30.226170897699618,30.594663323158272,1507
601567,15.874732195409065,15.245591524426134,0.629140670982931,38.36,4.450000000000003,0.5341385860092309,32.8,30.01,1699
000519,15.548251912889935,14.920888758092996,0.6273631547969394,37.03,3.650000000000002,0.514531957544527,30.64,28.93,1699
CTRA,21.123181811102377,20.49709470115083,0.6260871099515495,31.159032247571012,2.7567175658795975,0.3241680580830416,20.565039133589682,20.260542860800186,1507
600346,18.521848145968217,17.896827545615068,0.6250206003531489,49.8,5.119999999999997,0.5470869263030484,38.51,34.24,1699
300012,18.213719835197175,17.588787522071808,0.6249323131253677,35.3,4.139999999999997,0.41736841082751563,28.999999999999996,28.22,1699
VZ,38.13419429815349,37.51207503255553,0.622119265597957,45.129531270318125,3.561359243533495,0.35053691463165004,18.401997348416785,18.648115699947283,1507
002558,15.98828134196586,15.366492054149498,0.6217892878163624,48.48,5.390000000000001,0.5675969608150222,41.01,38.07,1699
000708,17.556994696523276,16.936293459045373,0.6207012374779022,36.01,4.109999999999999,0.4742676428039798,26.939999999999998,24.709999999999997,1697
002120,17.29560918187169,16.6754443790465,0.6201648028251912,41.17,4.3700000000000045,0.527502669589918,35.07,33.43000000000001,1699
CSX,30.52393829547808,29.904710293633126,0.6192280018449513,38.953845435555635,3.602233296947084,0.30788133776304133,23.27898540675568,22.653582226933125,1507
600031,19.44743967039435,18.83742789876398,0.6100117716303709,50.3,5.899999999999999,0.5068001382054762,42.23,39.129999999999995,1699
600362,20.45691583284285,19.84726309593879,0.6096527369040611,55.28,5.039999999999999,0.5163778491158849,42.92,38.14,1699
600030,24.100367734282326,23.504228944246737,0.5961387900355871,36.49,4.120000000000001,0.4345219783369398,19.46,17.81,1686
002273,15.325997645673926,14.73226603884638,0.5937316068275457,29.16,2.9800000000000004,0.3532520585090967,20.11,19.299999999999997,1699
KHC,29.81838583209773,29.22762666872168,0.590759163376045,37.47114520951594,3.5299878667394893,0.3132822318288504,20.600237648942205,21.459514059663924,1507
600482,19.833252369668244,19.252559241706162,0.5806931279620852,30.0,4.0,0.36707574492469097,16.060000000000002,15.17,1688
600392,13.657504414361389,13.079517363154796,0.5779870512065921,29.28,4.09,0.5205677367257714,22.91,21.130000000000003,1699
BEN,21.77444623690901,21.198682517535005,0.5757637193739998,30.89230407054166,2.8407427732565367,0.3148895538264901,19.14954170278926,18.35988510137853,1507
600988,16.140159480212642,15.565375073833431,0.5747844063792085,34.25,3.9200000000000017,0.4196664542777154,30.41,29.36,1693
688472,12.787752808988763,12.213178170144461,0.5745746388443017,24.28,4.700000000000003,0.46757950934473064,15.780000000000001,14.080000000000002,623
600323,21.247645673925838,20.673772807533847,0.5738728663919952,31.1,3.0,0.33595025814851426,17.35,16.48,1699
